Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1764868577.7805736,1,-3,-6,-3,-3,0,-1,3,REST
1764868577.7872908,2,0,2,2,7,-1,-1,-2,REST
1764868577.8038244,-2,-2,-2,1,0,3,-3,-1,REST
1764868577.8183098,0,-2,2,-1,1,0,4,-4,REST
1764868577.8249469,-2,-4,-7,-4,-6,0,0,-2,REST
1764868577.8406491,2,0,-3,1,-2,0,-1,2,REST
1764868577.84749,1,-1,-1,-1,-2,0,-3,2,REST
1764868577.863772,-1,-4,-1,-3,-1,2,-1,-3,REST
1764868577.8781157,-1,-3,-3,-8,-5,-1,1,-4,REST
1764868577.8848927,3,2,-1,2,4,2,3,3,REST
1764868577.900797,-2,0,0,-1,-1,-2,-1,0,REST
1764868577.9073393,-4,0,2,-5,-11,-4,-2,-3,REST
1764868577.9238741,4,4,1,7,3,2,2,-1,REST
1764868577.9381883,-2,0,1,0,-6,-2,1,0,REST
1764868577.9449923,-1,-2,4,0,6,1,-2,-4,REST
1764868577.9605465,0,1,-2,1,5,-2,-2,-1,REST
1764868577.9674087,2,-3,2,-1,2,0,1,5,REST
1764868577.9838035,0,-5,-2,-5,-3,-4,-4,-4,REST
1764868577.9986978,-1,-2,-3,-7,-5,-4,-5,-1,REST
1764868578.0049498,-2,-2,-1,2,-2,2,-8,-2,REST
1764868578.0212133,0,-1,-2,-2,0,1,2,0,REST
1764868578.0272896,-6,1,2,-1,-2,-3,-1,-1,REST
1764868578.043729,2,2,2,5,1,2,-4,-5,REST
1764868578.0580518,3,-3,0,-5,3,-1,0,0,REST
1764868578.0648441,7,2,2,-1,0,2,2,0,REST
1764868578.0804472,-4,-1,-4,3,2,-2,0,-3,REST
1764868578.0873826,2,-1,-2,-5,-4,-4,-2,1,REST
1764868578.1036544,-2,3,-2,0,2,2,-1,0,REST
1764868578.1180425,-1,1,-2,3,4,0,0,2,REST
1764868578.1248343,0,5,-5,-3,-5,0,-2,-7,REST
1764868578.140551,0,-3,2,-4,-6,-2,3,-1,REST
1764868578.1474228,-1,0,0,3,4,-3,0,-4,REST
1764868578.1637156,1,-1,-4,-5,-9,0,-1,3,REST
1764868578.1780224,-4,-1,-2,-1,-2,0,-6,-4,REST
1764868578.1848347,-2,-1,1,-1,-3,-1,1,0,REST
1764868578.200769,-1,-3,3,-4,-3,1,-2,5,REST
1764868578.2073889,-1,-4,0,-5,-7,-4,-2,-3,REST
1764868578.2236738,2,2,3,-1,-4,5,2,-1,REST
1764868578.2381885,0,2,-1,3,0,0,-4,2,REST
1764868578.2449641,-2,-2,-4,-1,8,-1,-4,-1,REST
1764868578.2614574,-6,-4,-5,-1,-4,-3,-4,-2,REST
1764868578.2688828,0,2,-3,3,5,4,0,3,REST
1764868578.283736,1,1,-2,-2,-5,-1,1,0,REST
1764868578.2975104,1,1,-1,2,6,-1,4,4,REST
1764868578.306459,-7,-9,-6,-3,-4,-5,3,0,REST
1764868578.3205845,0,0,4,4,5,-4,2,-3,REST
1764868578.3274314,2,5,7,7,1,-1,1,4,REST
1764868578.343805,1,0,-2,1,4,-3,-1,-2,REST
1764868578.3574767,-4,-1,0,-6,-14,1,-9,-1,REST
1764868578.3664877,1,2,1,1,-2,-4,0,-2,REST
1764868578.3806813,-3,0,-1,0,-1,-2,4,-6,REST
1764868578.387381,2,-6,-1,-1,1,2,-3,-3,REST
1764868578.4039552,4,-7,-1,-2,1,0,-2,-2,REST
1764868578.4173777,3,-1,0,-2,-5,-4,0,-3,REST
1764868578.426422,0,-5,-3,0,-1,0,-1,-2,REST
1764868578.440495,-3,3,-2,-4,1,-5,1,-5,REST
1764868578.4473052,-1,5,-1,-5,-6,-2,-1,-1,REST
1764868578.463723,-3,0,-2,-4,-3,-1,-1,-2,REST
